# Old GitHub wiki page -> new site path(s), relative to https://dotnet.github.io/aspnet-api-versioning/
# Columns: OldPage <TAB> AspNetCorePath <TAB> AspNetPath
# Use "-" when a page exists for only one framework. Use "(root)" to point at the site root.
API-Documentation	aspnet-core/docs/overview.html	aspnet/docs/overview.html
API-Explorer-Options	aspnet-core/docs/options.html	aspnet/docs/options.html
API-Version-Conventions	aspnet-core/config/conventions.html	aspnet/config/conventions.html
API-Version-Reader	aspnet-core/config/reader.html	aspnet/config/reader.html
API-Version-Selector	aspnet-core/config/selector.html	aspnet/config/selector.html
API-Versioning-Options	aspnet-core/config/options.html	aspnet/config/options.html
API-Versioning-with-OData	aspnet-core/odata/overview.html	aspnet/odata/overview.html
API-Versioning-with-gRPC	aspnet-core/grpc/overview.html	-
Accessing-Version-Information	aspnet-core/how-to/requested-version.html	aspnet/how-to/requested-version.html
Configuring-Your-Application	aspnet-core/config/overview.html	aspnet/config/overview.html
Controller-Conventions	aspnet-core/how-to/naming-conventions.html	aspnet/how-to/naming-conventions.html
Custom-API-Version-Format	aspnet-core/ext/custom-format.html	aspnet/ext/custom-format.html
Custom-Attributes	aspnet-core/ext/custom-attributes.html	aspnet/ext/custom-attributes.html
Defining-a-Service-Version	aspnet-core/how-to/define-service-version.html	aspnet/how-to/define-service-version.html
Deprecating-a-Service-Version	aspnet-core/how-to/deprecate-version.html	aspnet/how-to/deprecate-version.html
Error-Responses	aspnet-core/errors.html	aspnet/errors.html
Existing-Services	aspnet-core/how-to/existing-services.html	aspnet/how-to/existing-services.html
Existing-Services-Quick-Start	aspnet-core/quick-starts/existing-services.html	aspnet/quick-starts/existing-services.html
FAQ	aspnet-core/faq.html	aspnet/faq.html
Home	(root)	-
How-to-Version-Your-Service	aspnet-core/how-to/overview.html	aspnet/how-to/overview.html
Known-Limitations	aspnet-core/limitations.html	aspnet/limitations.html
Migration	aspnet-core/quick-starts/migration.html	aspnet/quick-starts/migration.html
New-Services-Quick-Start	aspnet-core/quick-starts/new-services.html	aspnet/quick-starts/new-services.html
OData-Batching	aspnet-core/odata/batching.html	-
OData-Model-Configurations	aspnet-core/odata/model-config.html	aspnet/odata/model-config.html
OData-Model-Substitution	aspnet-core/odata/model-substitution.html	aspnet/odata/model-substitution.html
OData-Protocol-Transitions	-	aspnet/odata/protocol-transition.html
OData-Query-Options	aspnet-core/docs/odata-options.html#query-options	aspnet/docs/odata-options.html#query-options
OData-Versioned-Controllers	aspnet-core/odata/controllers.html	aspnet/odata/controllers.html
OData-Versioned-Metadata	aspnet-core/odata/metadata.html	aspnet/odata/metadata.html
OpenAPI-Options	aspnet-core/docs/openapi-options.html	-
Scalar-Integration	aspnet-core/docs/scalar.html	-
Swashbuckle-Integration	aspnet-core/docs/swashbuckle.html	aspnet/docs/swashbuckle.html
Third-Party-Extensions	aspnet-core/ext/third-party.html	-
Version-Advertisement	aspnet-core/how-to/version-advertisement.html	aspnet/how-to/version-advertisement.html
Version-Discovery	aspnet-core/version-discovery.html	aspnet/version-discovery.html
Version-Format	aspnet-core/version-format.html	aspnet/version-format.html
Version-Interleaving	aspnet-core/how-to/version-interleaving.html	aspnet/how-to/version-interleaving.html
Version-Neutral	aspnet-core/how-to/version-neutral.html	aspnet/how-to/version-neutral.html
Version-Policies	aspnet-core/version-policies.html	aspnet/version-policies.html
Versioned-Clients	aspnet-core/ext/clients.html	aspnet/ext/clients.html
Versioned-ODataModelBuilder	aspnet-core/odata/model-builder.html	aspnet/odata/model-builder.html
Versioned-Protocol-Buffer-Message-Fields	aspnet-core/grpc/versioned-fields.html	-
Versioning-by-Header	aspnet-core/how-to/version-by-header.html	aspnet/how-to/version-by-header.html
Versioning-by-Media-Type	aspnet-core/how-to/version-by-media-type.html	aspnet/how-to/version-by-media-type.html
Versioning-via-the-Query-String	aspnet-core/how-to/version-by-query-string.html	aspnet/how-to/version-by-query-string.html
Versioning-via-the-URL-Path	aspnet-core/how-to/version-by-url.html	aspnet/how-to/version-by-url.html
gRPC-API-Explorer-Options	aspnet-core/docs/grpc-options.html	-
gRPC-Request-Parameters	aspnet-core/grpc/request-parameters.html	-
_Sidebar	(root)	-
